sample_name	unit_name	fq1	fq2	sra	read_format	call_peaks	input	peak_type	sample_group
S2-Zld_DMSO_aH3K27me3_rep1	S2-Zld_DMSO_aH3K27me3_rep1	data/raw_reads/TGL180_S32_L002_R1_001.fastq.gz	data/raw_reads/TGL180_S32_L002_R2_001.fastq.gz		PE	TRUE	S2-Zld_DMSO_IgG_rep1	broad	S2-Zld_DMSO_aH3K27me3
S2-Zld_Taz_aH3K27me3_rep1	S2-Zld_Taz_aH3K27me3_rep1	data/raw_reads/TGL181_S33_L002_R1_001.fastq.gz	data/raw_reads/TGL181_S33_L002_R2_001.fastq.gz		PE	TRUE	S2-Zld_DMSO_IgG_rep1	broad	S2-Zld_Taz_aH3K27me3
S2-Zld_DMSO_IgG_rep1	S2-Zld_DMSO_IgG_rep1	data/raw_reads/TGL186_S38_L002_R1_001.fastq.gz	data/raw_reads/TGL186_S38_L002_R2_001.fastq.gz		PE	FALSE		broad	S2-Zld_DMSO_IgG
		staging/b/biesbrock/AC-HA-BioR1			PE	TRUE		broad	AC
		staging/b/biesbrock/AT-HA-BioR1			PE	TRUE		broad	AT
		staging/b/biesbrock/NC-HA-BioR1			PE	TRUE		broad	NC
		staging/b/biesbrock/NG-HA-BioR1			PE	TRUE		broad	NG
		staging/b/biesbrock/IgG-HA-BioR1			PE	TRUE		broad	IgG
		staging/b/biesbrock/H3K4me3-HA-BioR1			PE	TRUE		broad	H3K4me3
		staging/b/biesbrock/H3K27me3-HA-BioR1			PE	TRUE		broad	H3K27me3
		staging/b/biesbrock/AC-HA-BioR2			PE	TRUE		broad	AC
		staging/b/biesbrock/AT-HA-BioR2			PE	TRUE		broad	AT
		staging/b/biesbrock/NC-HA-BioR2			PE	TRUE		broad	NC
		staging/b/biesbrock/NG-HA-BioR2			PE	TRUE		broad	NG
		staging/b/biesbrock/H3K27me3-HA-BioR2			PE	TRUE		broad	H3K27me3
		staging/b/biesbrock/AC-HA-BioR3			PE	TRUE		broad	AC
		staging/b/biesbrock/AT-HA-BioR3			PE	TRUE		broad	AT
		staging/b/biesbrock/NC-HA-BioR3			PE	TRUE		broad	NC
		staging/b/biesbrock/NG-HA-BioR3			PE	TRUE		broad	NG
		staging/b/biesbrock/H3K27me3-HA-BioR3			PE	TRUE		broad	H3K27me3
		staging/b/biesbrock/H3K4me3-HA-BioR3			PE	TRUE		broad	H3K4me3
		staging/b/biesbrock/IgG-HA-BioR3			PE	TRUE		broad	IgG